Resort ID,Rate,Stars
1,4.9,5.0
2,4.8,5.0
3,4.8,5.0
4,4.8,5.0
5,4.8,5.0
6,4.7,5.0
7,4.7,5.0
8,4.7,5.0
9,4.7,4.0
10,4.7,5.0
11,4.6,5.0
12,4.6,5.0
13,4.5,4.0
14,4.5,5.0
15,4.5,4.0
16,4.5,3.0
17,4.4,5.0
18,4.4,4.0
19,4.4,5.0
20,4.4,4.0
21,4.3,4.0
22,4.3,3.0
23,4.2,4.0
24,4.2,5.0
25,4.2,3.0
26,4.2,5.0
27,4.2,4.0
28,4.2,4.0
29,4.1,4.0
30,4.1,4.0
31,4.1,4.0
32,4.1,4.0
33,4.0,3.0
34,4.0,4.0
35,4.0,4.0
36,4.0,4.0
37,4.0,3.0
38,4.0,2.0
39,4.0,5.0
40,4.0,4.0
41,4.0,4.0
42,4.0,4.0
43,3.9,3.0
44,3.9,4.0
45,3.9,3.0
46,3.9,4.0
47,3.9,4.0
48,3.9,4.0
49,3.8,5.0
50,3.8,3.0
51,3.8,3.0
52,3.8,4.0
53,3.8,4.0
54,3.8,3.0
55,3.8,3.0
56,3.7,3.0
57,3.7,4.0
58,3.7,4.0
59,3.7,5.0
60,3.7,2.0
61,3.7,4.0
62,3.7,3.0
63,3.7,3.0
64,3.7,4.0
65,3.7,3.0
66,3.7,4.0
67,3.7,2.0
68,3.7,3.0
69,3.7,3.0
70,3.7,3.0
71,3.7,3.0
72,3.7,4.0
73,3.7,4.0
74,3.6,3.0
75,3.6,3.0
76,3.6,2.0
77,3.6,3.0
78,3.6,2.0
79,3.6,5.0
80,3.6,5.0
81,3.6,3.0
82,3.5,4.0
83,3.5,3.0
84,3.5,3.0
85,3.5,4.0
86,3.5,2.0
87,3.5,3.0
88,3.5,4.0
89,3.4,2.0
90,3.4,3.0
91,3.4,2.0
92,3.4,3.0
93,3.3,2.0
94,3.3,2.0
95,3.3,2.0
96,3.3,4.0
97,3.3,3.0
98,3.3,3.0
99,3.3,3.0
100,3.3,3.0
101,3.3,2.0
102,3.3,3.0
104,3.2,5.0
105,3.2,2.0
106,3.2,2.0
107,3.2,2.0
108,3.2,2.0
112,3.0,2.0
113,3.0,1.0
114,3.0,2.0
115,3.0,2.0
116,3.0,2.0
123,2.9,3.0
124,2.9,3.0
125,2.9,2.0
126,2.9,2.0
134,2.8,2.0
135,2.8,3.0
141,2.7,1.0
142,2.7,1.0
143,1.0,2.0
144,1.0,1.0
145,1.0,1.0
146,1.0,1.0
147,1.0,1.0
148,1.0,1.0
149,2.0,1.0
150,1.0,1.0
434,4.7,5.0
435,4.7,5.0
436,4.5,5.0
437,4.5,5.0
438,4.4,4.0
439,4.4,5.0
440,4.4,5.0
441,4.3,4.0
442,4.3,5.0
443,4.3,5.0
444,4.3,5.0
445,4.2,5.0
446,4.2,5.0
447,4.2,5.0
448,4.2,5.0
449,4.2,5.0
450,4.1,5.0
451,4.0,4.0
452,4.0,4.0
453,4.0,3.0
454,3.9,4.0
455,3.8,3.0
456,3.8,4.0
457,3.8,4.0
458,3.8,5.0
459,3.8,4.0
460,3.8,4.0
462,3.7,4.0
463,3.7,4.0
464,3.7,5.0
465,3.7,4.0
466,3.7,5.0
467,3.6,3.0
468,3.6,4.0
469,3.6,5.0
470,3.6,5.0
471,3.6,3.0
472,3.5,3.0
473,3.5,4.0
474,3.5,4.0
478,3.4,2.0
480,3.3,4.0
485,3.2,4.0
492,3.1,3.0
531,1.0,3.0
532,1.0,1.0
767,4.7,4.0
768,4.6,5.0
769,4.5,4.0
770,4.4,4.0
771,4.3,4.0
772,4.3,4.0
773,4.3,3.0
774,4.3,5.0
775,4.3,3.0
776,4.2,4.0
777,4.2,4.0
778,4.2,4.0
779,4.2,5.0
780,4.2,4.0
781,4.2,4.0
782,4.2,4.0
783,4.2,5.0
784,4.1,3.0
785,4.1,5.0
786,4.0,3.0
787,4.0,3.0
788,4.0,3.0
789,4.0,3.0
790,4.0,4.0
791,4.0,5.0
792,4.0,5.0
793,4.0,3.0
794,3.8,3.0
795,3.8,3.0
796,3.8,3.0
797,3.7,3.0
798,3.7,3.0
799,3.7,3.0
800,3.7,3.0
801,3.7,4.0
802,3.7,4.0
803,3.7,4.0
804,3.6,3.0
805,3.6,3.0
808,3.5,2.0
809,3.5,4.0
811,3.4,2.0
816,3.2,3.0
827,3.0,2.0
841,2.9,2.0
872,2.7,1.0
873,1.0,1.0
1058,4.6,5.0
1059,4.6,5.0
1060,4.4,5.0
1061,4.4,5.0
1062,4.3,5.0
1063,4.2,5.0
1064,4.2,5.0
1065,4.1,5.0
1066,4.1,5.0
1067,4.1,5.0
1068,4.1,4.0
1069,4.0,4.0
1070,4.0,4.0
1071,4.0,4.0
1082,3.7,4.0
1083,3.7,3.0
1084,3.7,5.0
1085,3.7,4.0
1086,3.6,4.0
1091,3.5,5.0
1164,2.7,1.0
1165,1.0,1.0
1166,1.0,1.0
1309,4.4,5.0
1310,3.7,3.0
1311,3.5,5.0
1312,4.3,3.0
1313,4.0,3.0
1314,4.0,3.0
1315,4.0,2.0
1316,3.3,2.0
1394,4.3,4.0
1395,4.2,4.0
1396,4.0,4.0
1397,4.0,5.0
1430,4.2,4.0
1431,3.7,4.0
1432,3.6,3.0
1433,3.1,3.0
1434,3.0,3.0
1450,4.2,4.0
1475,4.2,4.0
1476,4.0,5.0
1477,4.0,3.0
1478,3.9,4.0
1479,3.8,3.0
1480,3.7,3.0
1481,3.7,3.0
1482,3.6,2.0
1483,3.5,4.0
1484,3.3,2.0
1485,3.3,2.0
1488,3.1,1.0
1587,4.0,4.0
1588,3.9,3.0
1589,3.9,3.0
1590,3.8,3.0
1591,3.7,3.0
1592,3.7,2.0
1593,3.6,3.0
1594,3.4,4.0
1595,3.3,3.0
1596,3.3,4.0
1705,4.0,5.0
1706,3.5,3.0
1707,3.3,2.0
1708,3.1,1.0
1831,3.9,3.0
1832,3.5,2.0
1833,3.0,2.0
1834,2.9,3.0
1835,2.7,1.0
1840,3.8,4.0
1841,3.7,3.0
1842,3.7,3.0
1843,3.7,4.0
1844,3.7,2.0
1845,3.7,3.0
1846,3.7,3.0
1847,3.7,3.0
1848,3.6,3.0
1849,3.5,2.0
1850,3.5,3.0
1851,3.5,3.0
1852,3.4,3.0
1853,3.3,2.0
1854,3.3,2.0
1855,3.3,1.0
1856,3.3,2.0
1857,3.3,3.0
1858,3.3,2.0
1859,3.2,2.0
1860,3.2,1.0
1861,3.2,2.0
1862,3.2,1.0
1863,3.1,1.0
1864,3.1,2.0
1865,3.0,2.0
1866,3.0,2.0
1867,3.0,3.0
1868,3.0,2.0
1869,2.9,2.0
1870,2.9,2.0
1873,2.8,2.0
1875,2.7,2.0
1876,2.7,2.0
1877,2.7,2.0
1878,2.7,1.0
1879,1.0,2.0
1880,1.0,2.0
1881,1.0,2.0
1882,1.0,2.0
1883,1.0,2.0
1884,1.0,2.0
1885,2.0,2.0
1886,1.0,1.0
1887,1.0,1.0
1888,1.0,1.0
1889,1.0,1.0
1890,1.0,1.0
1891,1.0,1.0
1892,1.0,1.0
1893,1.0,1.0
1894,1.0,1.0
1895,1.0,1.0
1896,1.0,1.0
1897,1.0,1.0
1898,1.0,1.0
1899,1.0,1.0
1900,1.0,1.0
1901,1.0,1.0
1902,1.0,1.0
1903,1.0,1.0
1904,1.0,1.0
1905,1.0,1.0
1906,1.0,1.0
1907,1.0,1.0
1908,1.0,1.0
1909,1.0,1.0
1910,1.0,1.0
1911,1.0,1.0
1912,1.0,1.0
1913,1.0,1.0
1914,1.0,1.0
1915,1.0,1.0
1916,1.0,1.0
1917,1.0,1.0
1918,1.0,1.0
1919,1.0,1.0
1920,1.0,1.0
1921,2.0,1.0
1922,1.0,1.0
2555,3.7,3.0
2556,3.1,3.0
2571,3.7,2.0
2572,3.3,2.0
2573,3.2,1.0
2578,1.0,2.0
2579,1.0,1.0
2872,3.6,3.0
2873,3.5,3.0
2921,3.6,4.0
2925,3.6,2.0
2926,3.3,1.0
2927,2.8,1.0
2928,2.8,4.0
2932,2.7,2.0
2933,1.0,2.0
2934,1.0,2.0
2935,1.0,1.0
2936,1.0,1.0
3179,3.6,4.0
3180,3.2,2.0
3184,3.5,3.0
3243,3.2,1.0
3244,2.7,1.0
3245,1.0,1.0
3246,1.0,1.0
3285,3.0,2.0
3393,1.0,2.0
3394,1.0,1.0
3395,1.0,1.0
3396,1.0,1.0
3397,1.0,1.0
3487,2.7,1.0
3498,1.0,1.0
3499,1.0,1.0
3510,1.0,1.0
